decile,variable,value,year
decile 2,drink_std,289217.01029149693,94
decile 3,drink_std,333025.7610896604,94
decile 4,drink_std,363113.3196193542,94
decile 5,drink_std,370447.45279884303,94
decile 6,drink_std,351711.37817096745,94
decile 7,drink_std,378065.0739965279,94
decile 8,drink_std,371262.3431607418,94
decile 9,drink_std,349992.58206203766,94
decile 10,drink_std,376352.0064738173,94
decile 1,Cloth,145193.90876446335,94
decile 2,Cloth,324566.22685522673,94
decile 3,Cloth,462059.5827148276,94
decile 4,Cloth,604504.7380156076,94
decile 5,Cloth,715390.173991753,94
decile 6,Cloth,874567.3690205012,94
decile 7,Cloth,1113617.597800275,94
decile 8,Cloth,1407855.019860293,94
decile 9,Cloth,1731907.2439907803,94
decile 10,Cloth,2679305.1455082246,94
decile 1,cloth_std,339489.95367581554,94
decile 2,cloth_std,594995.6571906545,94
decile 3,cloth_std,791318.5793319882,94
decile 4,cloth_std,979076.8348321336,94
decile 5,cloth_std,1132016.6966550136,94
decile 6,cloth_std,1323661.9625723404,94
decile 7,cloth_std,1583085.8057415227,94
decile 8,cloth_std,2011588.9411412335,94
decile 9,cloth_std,2488680.1720772376,94
decile 10,cloth_std,4463925.68430144,94
decile 1,Housing,1343752.9449394867,94
decile 2,Housing,2116098.982796326,94
decile 3,Housing,2568952.944087086,94
decile 4,Housing,3025017.511519881,94
decile 5,Housing,3437892.5462134164,94
decile 6,Housing,3825135.3965831436,94
decile 7,Housing,4353718.06624172,94
decile 8,Housing,5016359.106012875,94
decile 9,Housing,6046903.85528482,94
decile 10,Housing,9369987.30240405,94
decile 1,housign_std,805725.648808923,94
decile 2,housign_std,1183633.3005638241,94
decile 3,housign_std,1397496.1047728383,94
decile 4,housign_std,1604882.3476155945,94
decile 5,housign_std,1779527.5311981472,94
decile 6,housign_std,2133514.685624376,94
decile 7,housign_std,2548585.590150895,94
decile 8,housign_std,3223644.9717915147,94
decile 9,housign_std,4632772.351035314,94
decile 10,housign_std,8981814.882594114,94
decile 1,Furniture,164536.8200558585,94
decile 2,Furniture,250068.25338970695,94
decile 3,Furniture,294158.588982352,94
decile 4,Furniture,337492.9487179487,94
decile 5,Furniture,371158.0508900734,94
decile 6,Furniture,398889.8519362187,94
decile 7,Furniture,477531.5573053368,94
decile 8,Furniture,558755.3622791398,94
decile 9,Furniture,682130.745801778,94
decile 10,Furniture,1637989.6246309574,94
decile 1,furniture_std,146523.1337139501,94
decile 2,furniture_std,239173.91004561496,94
decile 3,furniture_std,273921.5274268756,94
decile 4,furniture_std,338687.60394848295,94
decile 5,furniture_std,369937.23545314546,94
decile 6,furniture_std,460799.9791175495,94
decile 7,furniture_std,634226.3361701798,94
decile 8,furniture_std,997120.1963931664,94
decile 9,furniture_std,1370787.9110138963,94
decile 10,furniture_std,9224896.901557665,94
decile 1,Health,181467.12328767125,94
decile 2,Health,316552.77737279487,94
decile 3,Health,447382.06333498267,94
decile 4,Health,564599.3032329989,94
decile 5,Health,658443.4778235945,94
decile 6,Health,818727.3917995444,94
decile 7,Health,1072839.7575303088,94
decile 8,Health,1384267.9769894534,94
decile 9,Health,1949950.3292723082,94
decile 10,Health,3707743.778996204,94
decile 1,health_std,327198.8088575092,94
decile 2,health_std,529760.2093644211,94
decile 3,health_std,712588.8964942616,94
decile 4,health_std,935963.0934656117,94
decile 5,health_std,1067058.9396096845,94
decile 6,health_std,1374192.2528801695,94
decile 7,health_std,1728240.520413867,94
decile 8,health_std,2267488.8769856896,94
decile 9,health_std,3372182.095357401,94
decile 10,health_std,10348293.566944629,94
decile 1,Transportation,253340.4708072882,94
decile 2,Transportation,423082.7744569179,94
decile 3,Transportation,553881.2304139865,94
decile 4,Transportation,671601.1705685619,94
decile 5,Transportation,780504.2240772402,94
decile 6,Transportation,917211.3325740319,94
decile 7,Transportation,1044481.4648168979,94
decile 8,Transportation,1220371.3189973976,94
decile 9,Transportation,1410734.1949292065,94
decile 10,Transportation,1912274.356811472,94
decile 1,transportation_std,276424.2372403831,94
decile 2,transportation_std,401236.20020452683,94
decile 3,transportation_std,520927.02078007674,94
decile 4,transportation_std,612555.026421649,94
decile 5,transportation_std,708645.3853436421,94
decile 6,transportation_std,848337.3360226386,94
decile 7,transportation_std,917832.3845848202,94
decile 8,transportation_std,1130744.903213984,94
decile 9,transportation_std,1493525.705707486,94
decile 10,transportation_std,2886808.122651978,94
decile 1,ICT,141262.25229418805,94
decile 2,ICT,227392.40472372065,94
decile 3,ICT,279232.8467755237,94
decile 4,ICT,329221.16778149386,94
decile 5,ICT,378074.3839887358,94
decile 6,ICT,411630.01138952165,94
decile 7,ICT,455933.93325834273,94
decile 8,ICT,523279.4685659499,94
decile 9,ICT,608852.3213697728,94
decile 10,ICT,752247.5183466892,94
decile 1,ict_std,134576.78476693277,94
decile 2,ict_std,186738.13284850208,94
decile 3,ict_std,211327.079525541,94
decile 4,ict_std,250076.91190540328,94
decile 5,ict_std,279968.17739991145,94
decile 6,ict_std,325562.5193723126,94
decile 7,ict_std,341865.3681672662,94
decile 8,ict_std,396869.02829287207,94
decile 9,ict_std,459820.8728890565,94
decile 10,ict_std,629600.3317866751,94
decile 1,Restaurant,20315.733475196168,94
decile 2,Restaurant,46405.52558682024,94
decile 3,Restaurant,64756.76232888009,94
decile 4,Restaurant,83384.1044221479,94
decile 5,Restaurant,101474.25324348788,94
decile 6,Restaurant,117900.85421412301,94
decile 7,Restaurant,150360.76715410574,94
decile 8,Restaurant,194137.78934392548,94
decile 9,Restaurant,288815.6898254857,94
